source_ref,target_ref,relation,confidence,note,element_text
AA.I.A.K1,ac-120-76e,guidance,auto,from the Task A References line,"Landing gear–extension/retraction system(s), indicators, float devices, brakes, antiskid, tires, nose- wheel steering, and shock absorbers."
AA.I.A.K1,ac-91-78a,guidance,auto,from the Task A References line,"Landing gear–extension/retraction system(s), indicators, float devices, brakes, antiskid, tires, nose- wheel steering, and shock absorbers."
AA.I.A.K1,afh,explanation,auto,from the Task A References line,"Landing gear–extension/retraction system(s), indicators, float devices, brakes, antiskid, tires, nose- wheel steering, and shock absorbers."
AA.I.A.K1,risk-management,explanation,auto,from the Task A References line,"Landing gear–extension/retraction system(s), indicators, float devices, brakes, antiskid, tires, nose- wheel steering, and shock absorbers."
AA.I.A.K1,seaplane,explanation,auto,from the Task A References line,"Landing gear–extension/retraction system(s), indicators, float devices, brakes, antiskid, tires, nose- wheel steering, and shock absorbers."
AA.I.A.K10,ac-120-76e,guidance,auto,from the Task A References line,"Ice protection–anti-ice, deice, pitot-static system protection, turbine inlet, propeller, windshield, airfoil surfaces, and other related components."
AA.I.A.K10,ac-91-78a,guidance,auto,from the Task A References line,"Ice protection–anti-ice, deice, pitot-static system protection, turbine inlet, propeller, windshield, airfoil surfaces, and other related components."
AA.I.A.K10,afh,explanation,auto,from the Task A References line,"Ice protection–anti-ice, deice, pitot-static system protection, turbine inlet, propeller, windshield, airfoil surfaces, and other related components."
AA.I.A.K10,risk-management,explanation,auto,from the Task A References line,"Ice protection–anti-ice, deice, pitot-static system protection, turbine inlet, propeller, windshield, airfoil surfaces, and other related components."
AA.I.A.K10,seaplane,explanation,auto,from the Task A References line,"Ice protection–anti-ice, deice, pitot-static system protection, turbine inlet, propeller, windshield, airfoil surfaces, and other related components."
AA.I.A.K11,ac-120-76e,guidance,auto,from the Task A References line,"Crewmember and passenger equipment–oxygen system, survival gear, emergency exits, evacuation procedures and crew duties, quick donning oxygen mask for crewmembers, passenger oxygen system."
AA.I.A.K11,ac-91-78a,guidance,auto,from the Task A References line,"Crewmember and passenger equipment–oxygen system, survival gear, emergency exits, evacuation procedures and crew duties, quick donning oxygen mask for crewmembers, passenger oxygen system."
AA.I.A.K11,afh,explanation,auto,from the Task A References line,"Crewmember and passenger equipment–oxygen system, survival gear, emergency exits, evacuation procedures and crew duties, quick donning oxygen mask for crewmembers, passenger oxygen system."
AA.I.A.K11,risk-management,explanation,auto,from the Task A References line,"Crewmember and passenger equipment–oxygen system, survival gear, emergency exits, evacuation procedures and crew duties, quick donning oxygen mask for crewmembers, passenger oxygen system."
